,國文,英文,數學,社會,自然
0,12,6,6,8,12
1,10,6,13,13,6
2,11,14,13,13,11
3,10,13,13,14,12
4,8,13,14,9,13
5,7,6,15,13,15
6,11,7,12,8,10
7,6,9,6,8,15
8,15,7,13,8,7
9,11,8,10,9,8
10,14,13,14,15,9
11,13,7,12,9,12
12,11,9,8,10,12
13,6,15,9,13,14
14,13,8,15,9,9
15,12,8,12,12,15
16,7,8,7,13,9
17,12,7,13,15,14
18,10,7,10,6,6
19,7,15,6,8,9
20,8,8,8,15,11
21,14,10,6,6,14
22,6,12,15,14,13
23,7,10,7,15,8
24,11,6,6,13,15
25,15,11,12,9,8
26,13,12,14,9,7
27,10,8,10,14,14
28,7,11,13,9,14
29,6,8,13,11,6
30,13,8,10,12,13
31,7,9,6,15,12
32,11,14,8,13,13
33,12,14,12,7,9
34,14,13,8,6,10
35,12,6,15,11,6
36,11,9,13,9,14
37,9,12,7,6,15
38,14,13,10,8,11
39,13,8,7,15,13
40,11,9,7,8,6
41,8,6,13,9,7
42,15,15,14,9,13
43,15,12,15,12,6
44,10,14,9,11,11
45,13,11,10,15,14
46,9,10,6,7,12
47,14,11,11,8,9
48,9,15,15,6,7
49,11,13,8,13,10
50,14,15,15,6,12
51,11,8,11,15,8
52,14,15,11,14,15
53,14,6,15,12,12
54,8,10,11,9,12
55,11,14,12,6,15
56,6,14,9,15,14
57,13,6,13,9,7
58,6,11,9,6,9
59,15,8,14,6,15
60,7,15,13,9,7
61,13,7,14,8,7
62,14,10,13,12,9
63,14,12,10,8,12
64,14,7,10,8,8
65,13,7,7,11,7
66,10,6,6,7,7
67,15,7,9,8,7
68,9,11,7,6,6
69,13,15,7,11,15
70,14,11,8,15,9
71,6,7,10,12,15
72,12,14,9,11,6
73,13,8,12,15,6
74,11,11,9,8,14
75,15,13,7,13,11
76,7,15,8,12,13
77,7,7,9,13,10
78,7,8,6,6,12
79,8,10,9,14,11
80,14,6,6,6,11
81,15,15,11,6,15
82,10,11,9,10,6
83,11,12,10,14,8
84,6,14,12,9,9
85,13,7,10,11,10
86,6,6,12,7,6
87,14,14,8,11,12
88,13,12,9,14,14
89,7,12,11,14,8
90,9,7,9,13,8
91,8,11,8,14,10
92,13,7,7,11,14
93,7,10,12,8,7
94,13,11,12,13,6
95,11,9,13,14,10
96,14,9,12,11,9
97,15,8,13,14,14
98,8,11,9,7,10
99,6,11,13,12,10
