,國文,英文,數學,社會,自然
0,12,15,10,10,13
1,9,15,11,14,6
2,10,15,14,11,10
3,11,8,14,13,6
4,12,8,14,12,8
5,6,15,7,12,8
6,15,13,10,13,15
7,12,6,12,10,10
8,12,14,8,7,6
9,7,14,12,12,13
10,15,9,12,9,6
11,13,13,13,7,12
12,6,12,7,11,7
13,10,7,6,12,6
14,7,12,15,9,12
15,9,12,14,15,13
16,10,10,15,11,7
17,10,8,7,8,12
18,13,15,13,15,13
19,15,8,10,12,8
20,12,10,12,13,15
21,15,15,10,11,8
22,6,15,6,6,11
23,12,6,6,10,12
24,12,15,11,10,9
25,14,12,14,10,13
26,13,11,6,7,10
27,10,9,12,10,14
28,6,11,12,11,12
29,12,10,8,14,7
30,11,14,12,8,8
31,13,15,6,10,8
32,8,6,13,13,6
33,15,15,15,8,8
34,11,12,7,8,7
35,8,12,6,9,8
36,15,6,7,6,13
37,12,14,14,6,15
38,12,14,13,12,10
39,9,12,8,8,9
40,13,15,9,6,10
41,7,6,10,12,14
42,14,6,9,7,13
43,7,12,13,7,15
44,15,15,14,9,7
45,8,14,8,15,15
46,10,8,8,9,8
47,13,7,12,8,6
48,7,8,13,9,12
49,8,8,6,7,10
50,9,8,6,9,10
51,8,13,14,15,11
52,8,15,6,12,6
53,10,15,15,11,8
54,7,10,10,14,11
55,10,10,7,14,8
56,7,6,14,12,10
57,13,9,11,14,7
58,13,11,9,6,11
59,11,13,13,13,15
60,13,14,14,11,7
61,9,8,8,12,8
62,14,8,13,14,7
63,10,8,14,9,10
64,13,7,15,9,7
65,12,11,10,9,15
66,15,12,8,12,13
67,12,9,7,10,11
68,14,6,9,10,12
69,10,8,10,8,7
70,8,9,11,6,12
71,11,14,9,12,11
72,14,10,11,9,8
73,12,11,15,13,8
74,15,9,10,8,12
75,6,8,9,7,11
76,15,10,6,7,8
77,10,13,15,11,13
78,6,15,6,7,11
79,10,9,14,8,7
80,11,10,8,8,15
81,9,8,7,8,11
82,10,9,14,11,8
83,12,9,7,9,7
84,15,8,12,8,12
85,7,15,12,11,6
86,12,13,9,13,13
87,6,6,7,12,8
88,13,8,8,12,15
89,8,10,13,15,8
90,12,13,12,15,13
91,14,13,11,6,11
92,10,15,6,11,10
93,7,7,11,14,13
94,9,14,11,15,8
95,7,10,8,6,10
96,10,11,10,13,11
97,13,12,9,10,14
98,10,9,10,8,6
99,12,11,13,8,11
